skillset,questions,answers,qid
Java,What are the fundamental principles of object oriented programming?,"Inheritance, Abstraction, Polymorphism, Encapsulation",1
Java,What do you mean by inheritance in java?,"Inheritance is one of the key principle of object oriented programming. Through inheritance, one class can inherit the properties of another class. The class from which properties are inherited is called super class and the class to which properties are inherited is called sub class",2
Java,What is constructor overloading?,A class can have any number of constructors. These constructors will have different list of arguments. It is called constructor overloading. ,3
Java,What is the use of constructor overloading?,Constructor overloading provides different ways to instantiate a class.,4
Java,What is polymorphism in java?,Polymorphism refers to any entity whether it is a method or a constructor or an operator which takes many forms or can be used for multiple tasks.,5
Java, What is the method overloading in java?,"If a class has more than one method with same name but with different list of arguments, then it is called method overloading.",6
Java,What is the method overriding?,If a super class method is modified in the sub class then it is called method overriding.,7
Java, Does java supports multiple inheritance?,Java supports multiple inheritance but only through interfaces. That means a class can implement more than one interfaces but can not extend more than one class.,8
Java,What is the difference between constructor and method?,"Constructor is a special member of a class which is used to create the objects to the class. It is special because it will have same name as class. It will have no return type.

Method is ordinary member of a class which is used to implement some behavior of a class. It will have it’s own name and return type.",9
Java,Can we overload the main() method?,"Yes, we can overload a main() method. A class can have any number of main() methods. But, one of those must be in the form “public static void main(String[] args)” in order to start the execution.",10
Java,"How the exceptions are handled in java? OR Explain try, catch and finally blocks in java?","Java has it’s own mechanism to handle the exceptions. In Java, exceptions are handled using three blocks – try, catch and finally blocks. try block – The code to be monitored for exceptions will be kept in this block. catch block – If any exceptions occurred in try block, those exceptions will be caught by this block. finally block – This block will be always executed whether exception is raised or not and raised exceptions are caught or not.",11
Java,What are PATH and CLASSPATH?,PATH and CLASSPATH are two environment variables which need to be set in order to compile and run the java programs.,12
Java, What is multithreaded programming?,Multithreaded programming is one of the key features of java which allows multiple threads to execute their task simultaneously.,13
Java,What are the differences between static and non-static methods?,Static method is common to all instances of a class. Static methods are stored in the class memory. Where as non-static methods are stored in the object memory. Each instance of a class will have their own copy of non-static methods.,14
Java,What are the different ways of creating threads in java?,There are two ways to create the threads in java  By extending java.lang.Thread class.  By implementing java.lang.Runnable interface.,15
Java,What is synchronization in java?,Synchronization is a way of controlling the access of a method or a block by multiple threads. Only one thread can enter into a method or a block which has been declared as synchronized. Synchronization is one of the way to achieve thread safety.,16
Java,What is the use of final keyword in java?,"final keyword in java is used to restrict the modification of a class or a method or a variable. A final class can not be extended, a final method can not be overridden and we can not change the value of a final variable.",17
Java,What is garbage collection in java?,Removing unwanted objects or abandoned objects from the memory is called garbage collection. Garbage collection is done automatically in java. You need not to remove the unwanted objects explicitly. ,18
Java,What is cloning in java?,"Cloning is a process of creating an exact copy of an existing object in the memory. Cloning may be shallow or deep. In java, clone() method is used to create a clone of an object.",19
Java,What is javac ?,The javac is a compiler that compiles the source code of your program and generates bytecode. In simple words javac produces the java byte code from the source code written *.java file. JVM executes the bytecode to run the program.,20
Java,What is class?,A class is a blueprint or template or prototype from which you can create the object of that class. A class has set of properties and methods that are common to its objects.,21
Java,What is a wrapper class in Java?,Wrapper classes convert the Java primitives into the reference types (objects). Every primitive data type has a class dedicated to it. These are known as wrapper classes because they “wrap” the primitive data type into an object of that class,22
Java,What is Unicode?,Java uses Unicode to represent the characters. Unicode defines a fully international character set that can represent all of the characters found in human languages.,23
Java,What are Literals?,Any constant value that is assigned to a variable is called literal in Java.,24
Java,What is an Array?,An array is a collection (group) of fixed number of items. Array is a homogeneous data structure which means we can store multiple values of same type in an array but it can’t contain multiple values of different types.,25
Java,What is inheritance?,The process by which one class acquires the properties and functionalities of another class is called inheritance. Inheritance brings reusability of code in a java application,26
Java,What is method overriding in Java?,"When a sub class (child class) overrides the method of super class(parent class) then it is called overriding. To override a method, the signature of method in child class must match with the method signature in parent class.",27
Java,What is static and dynamic binding in Java?,Binding refers to the linking of method call to its body. A binding that happens at compile time is known as static binding while binding at runtime is known as dynamic binding.,28
Java,What is Encapsulation?,Wrapping of the data and code together is known as encapsulation.,29
Java,What is Interface in java?,"An interface is used for achieving full abstraction. A class implements an interface, thereby inheriting the abstract methods of the interface",30
Java,Can we mark constructors final?,"No, Constructor cannot be declared final.",31
Java,What is default and parameterized constructors?,"Constructors with no arguments are known as default constructors, when you don’t declare any constructor in a class, compiler creates a default one automatically.",32
Java,Can a constructor call another constructor?,Yes. A constructor can call the another constructor of same class using this keyword. For e.g. this() calls the default constructor.,33
Java,Can this keyword be assigned null value?,"No, this keyword cannot have null values assigned to it.",34
Java,Explain ways to pass the arguments in Java?,"In java, arguments can be passed as call by value – Java only supports call by value, there is no concept of call by reference in Java.",35
Java,What is singleton class and how can we make a class singleton?,"Singleton class is a class whose only one instance can be created at any given time, in one JVM. A class can be made singleton by making its constructor private.",36
Java,Is it possible to override a private or a static method in Java?,"No, there is no provision to override a private or static method in Java. However, you can use method hiding approach in extraordinary cases.",37
Java,What do you mean by association?,Association refers to a relationship where all the object of the class have got their own lifecycle and there is no owner as such. These relationships or associations as we call them can be one to one or one to many or many to one or many to many.,38
Java,Explain thread-safe code Singleton in Java?,"the answer for a code instance and stage by stage guide to generating thread-safe singleton code in Java. As soon as we say thread-safe, which means Singleton should continue singleton even if low-level formatting occurs in the case of numerous threads. Using Java enum as Singleton class is one of the simplest ways to generate a thread-safe singleton in Java.",39
Java,Is it possible to override a private or a static method in Java?,"No, there is no provision to override a private or static method in Java. However, you can use method hiding approach in extraordinary cases.",40
Java,What is a servlet?,In JAVA atmosphere a Java Servlet is a server-side technology used to extend the capability of the web servers by providing support for dynamic response and data persistence.,41
Java,What do you understand by Request Dispatcher?,"Request Dispatcher interface in JAVA is used to forward the request to another resource which can be HTML, JSP or any another servlet within the same application.",42
Java,Is it possible to generate array volatile in Java?,"Yes, you can generate an array volatile in Java but then again only the situation which is directing to an array, not the entire array. This means that, if one thread deviates the reference variable to directs to the extra array, that will offer a volatile assurance, but if multiple threads are altering separate array elements they won’t be having ensues before assurance offered by the volatile modifier.",43
Java,Explain the concept of interfaces in JAVA?,Interfaces are gentler in performance as likened to abstract classes as additional indirections are compulsory for interfaces. Additional key factor for designers to take into deliberation is that any class can spread only one abstract class through a class can implement numerous interfaces. Use of lines also places an additional burden on the developers at any time an interface is executed in a class; the developer is required to contrivance each and every technique of interface.,44
Java,Explain the meaning of thread local variable in Java?,"Thread-local variables are variables limited to a thread, it’s like thread’s individual copy which is not public between numerous threads. Java offers a Thread Local class to care thread-local variables. It’s one of the numerous ways to attain thread-safety. Though be cautious while using thread locally adjustable in managed environment e.g. with network servers where operative thread out lives somewhat application variable. Somewhat thread local variable which is not detached once its work is done can possibly reason a memory leak in Java application.",45
Java, What’s the variance amid an Abstract Class and Interface in Java?,"The main difference amid an abstract class and interface is that a boundary cans only own assertion of public static approaches with no existing application while an abstract class can have associated with any admittance specifies (i.e. public, private etc.) with or without real implementation. ",46
Java,What is the variance amid an Inner Class and a Sub-Class?,"An Inner class is a class which is copied up to the additional class. An Inner class has admittance privileges for the class which is nesting it and it can contact all variables and system well-defined in the outer class, whereas a sub-class is a class which receives from another class named Superclass. Sub-class can contact all public and protected approaches and fields of its superclass.",47
Java,Can we affirm a class as Abstract deprived of having an abstract method?,"Yes, we can generate an abstract class via abstract keyword beforehand class name even if it doesn’t have any abstract method. Though, if a class has even one abstract technique, it must be acknowledged as abstract or else it will give an error",48
Java,What is Polymorphism?,"Polymorphism is briefly described as “one interface, many implementations”. Polymorphism is a characteristic of being able to assign a different meaning or usage to something in different contexts – specifically, to allow an entity such as a variable, a function, or an object to have more than one form. ",49
Java,What is a marker interface?,"A Marker interface can be defined as the interface having no data member and member functions. In simpler terms, an empty interface is called the Marker interface. The most common examples of Marker interface in Java are Serializable, Cloneable etc",50
Java,What is a copy constructor in Java?,Copy constructor is a member function that is used to initialize an object using another object of the same class. Though there is no need for copy constructor in Java since all objects are passed by reference.,51
Java,What is JDBC Driver?,JDBC Driver is a software component that enables java application to interact with the database.,52
Java,What is the role of JDBC DriverManager class?,The DriverManager class manages the registered drivers. It can be used to register and unregister drivers. ,53
Java,What is JDBC Result Set MetaData interface?,"The ResultSetMetaData interface returns the information of table such as total number of columns, column name, column type ",54
Java,What are the performance inferences of Interfaces over abstract classes?,Interfaces are gentler in performance as likened to abstract classes as additional indirections are compulsory for interfaces. Additional key factor for designers to take into deliberation is that any class can spread only one abstract class through a class can implement numerous interfaces. Use of lines also places an additional burden on the developers at any time an interface is executed in a class; the developer is required to contrivance each and every technique of interface.,55
Java,Explain reason that why is a compile-time persistent in Java? What is the risk of using it?,"Public static ultimate variables are also recognized as a compile-time endless, the public is non-compulsory there. They are swapped with definite values at compile time since compiler distinguishes their value up-front and also distinguishes that it cannot be changed throughout run-time. One of the problematic with this is that if you ensued to use a public stationary final variable from some in-house or third-party library and their worth changed advanced than your client will still be using old value even after you organize a new version of JARs. To evade that, make certain you compile your program when your elevation dependence JAR files.",56
Java,Is a class subclass of itself?,No. a class isn’t a subclass of itself.,57
Java,What is JDBC DatabaseMetaData interface?,"The DatabaseMetaData interface returns the information of the database such as username, driver name, driver version, number of tables, number of views",58
Java,What do you mean by batch processing in JDBC?,"Batch processing helps you to group related SQLL statements into a batch and execute them instead of executing a single query. By using batch processing technique in JDBC, you can execute multiple queries which makes the performance faster.",59
Java, What is Spring?,"Wikipedia defines the Spring framework as “an application framework and inversion of control container for the Java platform. The framework’s core features can be used by any Java application, but there are extensions for building web applications on top of the Java EE platform.” Spring is essentially a lightweight, integrated framework that can be used for developing enterprise applications in java.",60
Java,What is Hibernate Framework?,"Hibernate is Java-based ORM tool that provides a framework for mapping application domain objects to the relational database tables and vice versa. Hibernate provides a reference implementation of Java Persistence API, that makes it a great choice as ORM tool with benefits of loose coupling. We can use the Hibernate persistence API for CRUD operations. Hibernate framework provide option to map plain old java objects to traditional database tables with the use of JPA annotations as well as XML based configuration.",61
Java,How is JSP better than Servlet technology?,"JSP is a technology on the server’s side to make content generation simple. They are document-centric, whereas servlets are programs. A Java server page can contain fragments of Java program, which execute and instantiate Java classes.",62
Java,What are the two ways to create a thread?,"In Java, threads can be created in the following two ways - By implementing the Runnable interface, By extending the Thread",63
Java, Explain reason that why is a compile-time persistent in Java? What is the risk of using it?,"Public static ultimate variables are also recognized as a compile-time endless, the public is non-compulsory there. They are swapped with definite values at compile time since compiler distinguishes their value up-front and also distinguishes that it cannot be changed throughout run-time. One of the problematic with this is that if you ensued to use a public stationary final variable from some in-house or third-party library and their worth changed advanced than your client will still be using old value even after you organize a new version of JARs. To evade that, make certain you compile your program when your elevation dependence JAR files.",64
Java,Can you override private or static method in Java ?,"you can not override private or static method in Java, if you create similar method with same return type and same method arguments that's called method hiding. ",65
Java,What will happen if we put a key object in a HashMap which is already there ?,if you put the same key again than it will replace the old mapping because HashMap doesn't allow duplicate keys. ,66
Java,Can you access non static variable in static context?, No you can not access static variable in non static context in Java. ,67
Java,What is the difference between sleep() and wait() method?,sleep() does not release the lock while wait method release the lock. sleep() method is present in java.lang.Thread class while wait() method  is present in java.lang.Object class,68
Java,What is the difference when String is gets created using literal or new() operator ?,When we create string with new() its created in heap and not added into string pool while String created using literal are created in String pool itself which exists in Perm area of heap.,69
Operating Systems,What is an operating system?,The operating system is a software program that facilitates computer hardware to communicate and operate with the computer software. It is the most important part of a computer system without it computer is just like a box,70
Operating Systems,What is a socket?,A socket is used to make connection between two applications. Endpoints of the connection are called socket.,71
Operating Systems,What is a real-time system?,Real-time system is used in the case when rigid-time requirements have been placed on the operation of a processor. It contains a well defined and fixed time constraints.,72
Operating Systems,What is kernel?,Kernel is the core and most important part of a computer operating system which provides basic services for all parts of the OS.,73
Operating Systems,What is monolithic kernel?,A monolithic kernel is a kernel which includes all operating system code is in single executable image.,74
Operating Systems,What is the difference between process and program?,A program while running or executing is known as a process.,75
Operating Systems,What is the use of paging in operating system?,Paging is used to solve the external fragmentation problem in operating system. This technique ensures that the data you need is available as quickly as possible.,76
Operating Systems,What is the concept of demand paging?,"Demand paging specifies that if an area of memory is not currently being used, it is swapped to disk to make room for an application's need.",77
Operating Systems,What is the advantage of a multiprocessor system?,"As many as processors are increased, you will get the considerable increment in throughput. It is cost effective also because they can share resources. So, the overall reliability increases.",78
Operating Systems,What is virtual memory?,Virtual memory is a very useful memory management technique which enables processes to execute outside of memory. This technique is especially used when an executing program cannot fit in the physical memory.,79
Operating Systems,What is thrashing?,"Thrashing is a phenomenon in virtual memory scheme when the processor spends most of its time in swapping pages, rather than executing instructions.",80
Operating Systems,What is a thread?,"A thread is a basic unit of CPU utilization. It consists of a thread ID, program counter, register set and a stack.",81
Operating Systems,What is FCFS?,"FCFS stands for First Come, First Served. It is a type of scheduling algorithm. In this scheme, if a process requests the CPU first, it is allocated to the CPU first. Its implementation is managed by a FIFO queue.",82
Operating Systems,What is SMP?,"SMP stands for Symmetric MultiProcessing. It is the most common type of multiple processor system. In SMP, each processor runs an identical copy of the operating system, and these copies communicate with one another when required.",83
Operating Systems,What is deadlock? Explain.,Deadlock is a specific situation or condition where two processes are waiting for each other to complete so that they can start. But this situation causes hang for both of them.,84
Operating Systems,What is Banker's algorithm?,Banker's algorithm is used to avoid deadlock. It is the one of deadlock-avoidance method. It is named as Banker's algorithm on the banking system where bank never allocates available cash in such a manner that it can no longer satisfy the requirements of all of its customers.,85
Operating Systems,What is the difference between logical address space and physical address space?,Logical address space specifies the address that is generated by CPU. On the other hand physical address space specifies the address that is seen by the memory unit.,86
Operating Systems,What is fragmentation?,Fragmentation is a phenomenon of memory wastage. It reduces the capacity and performance because space is used inefficiently.,87
Operating Systems, What is spooling?,"Spooling is a process in which data is temporarily gathered to be used and executed by a device, program or the system. It is associated with printing. When different applications send output to the printer at the same time, spooling keeps these all jobs into a disk file and queues them accordingly to the printer.",88
Operating Systems,What is the difference between internal commands and external commands?,Internal commands are the built-in part of the operating system while external commands are the separate file programs that are stored in a separate folder or directory.,89
Operating Systems,What is semaphore?,Semaphore is a protected variable or abstract data type that is used to lock the resource being used. The value of the semaphore indicates the status of a common resource.,90
Operating Systems,What is a binary Semaphore?,Binary semaphore takes only 0 and 1 as value and used to implement mutual exclusion and synchronize concurrent processes.,91
Operating Systems,What is Belady's Anomaly?,"Belady's Anomaly is also called FIFO anomaly. Usually, on increasing the number of frames allocated to a process virtual memory, the process execution is faster, because fewer page faults occur. Sometimes, the reverse happens, i.e., the execution time increases even when more frames are allocated to the process. This is Belady's Anomaly. This is true for certain page reference patterns.",92
Operating Systems, What is starvation in Operating System?,"Starvation is Resource management problem. In this problem, a waiting process does not get the resources it needs for a long time because the resources are being allocated to other processes.",93
Operating Systems,What is aging in Operating System?,Aging is a technique used to avoid the starvation in resource scheduling system.,94
Operating Systems,What are overlays?,Overlays makes a process to be larger than the amount of memory allocated to it. It ensures that only important instructions and data at any given time are kept in memory.,95
Operating Systems,When does trashing occur?,Thrashing specifies an instance of high paging activity. This happens when it is spending more time paging instead of executing.,96
Operating Systems, What is kernel?,A kernel is the core of every operating system. It connects applications to the actual processing of data. It also manages all communications between software and hardware components to ensure usability and reliability.,97
Operating Systems,What are real-time systems?,Real-time systems are used when rigid time requirements have been placed on the operation of a processor. It has well defined and fixed time constraints.,98
Operating Systems, What is SMP?,"SMP is a short form of Symmetric Multi-Processing. It is the most common type of multiple-processor systems. In this system, each processor runs an identical copy of the operating system, and these copies communicate with one another as needed.",99
Operating Systems,How are server systems classified?,"Server systems can be classified as either computer-server systems or file server systems. In the first case, an interface is made available for clients to send requests to perform an action. In the second case, provisions are available for clients to create, access and update files.",100
Operating Systems, What is asymmetric clustering?,"n asymmetric clustering, a machine is in a state known as hot standby mode where it does nothing but to monitor the active server. That machine takes the active server’s role should the server fails.",101
Operating Systems,Briefly explain FCFS.,"FCFS stands for First-come, first-served. It is one type of scheduling algorithm. In this scheme, the process that requests the CPU first is allocated the CPU first. Implementation is managed by a FIFO queue.",102
Operating Systems,What is asymmetric clustering?,"In asymmetric clustering, a machine is in a state known as hot standby mode where it does nothing but to monitor the active server. That machine takes the active server’s role should the server fails.",103
Operating Systems,What is RR scheduling algorithm?,"RR (round-robin) scheduling algorithm is primarily aimed for time-sharing systems. A circular queue is a setup in such a way that the CPU scheduler goes around that queue, allocating CPU to each process for a time interval of up to around 10 to 100 milliseconds.",104
Operating Systems,What factors determine whether a detection-algorithm must be utilized in a deadlock avoidance system?,One is that it depends on how often a deadlock is likely to occur under the implementation of this algorithm. The other has to do with how many processes will be affected by deadlock when this algorithm is applied.,105
Operating Systems,How does dynamic loading aid in better memory space utilization?,"With dynamic loading, a routine is not loaded until it is called. This method is especially useful when large amounts of code are needed in order to handle infrequently occurring cases such as error routines.",106
Operating Systems,What are overlays?,Overlays are used to enable a process to be larger than the amount of memory allocated to it. The basic idea of this is that only instructions and data that are needed at any given time are kept in memory.,107
Operating Systems,What is the basic function of paging?,Paging is a memory management scheme that permits the physical address space of a process to be noncontiguous. It avoids the considerable problem of having to fit varied sized memory chunks onto the backing store.,108
Operating Systems, What is fragmentation?,"Fragmentation is memory wasted. It can be internal if we are dealing with systems that have fixed-sized allocation units, or external if we are dealing with systems that have variable-sized allocation units.",109
Operating Systems,How does swapping result in better memory management?,"During regular intervals that are set by the operating system, processes can be copied from main memory to a backing store, and then copied back later. Swapping allows more operations to be run that can fit into memory at one time.",110
Operating Systems,What is a socket?,A socket provides a connection between two applications. Each endpoint of a communication is a socket.,111
Operating Systems,What is the best page size when designing an operating system?,"The best paging size varies from system to system, so there is no single best when it comes to page size. There are different factors to consider in order to come up with a suitable page size, such as page table, paging time, and its effect on the overall efficiency of the operating system.",112
Operating Systems,When does thrashing occur?,Thrashing refers to an instance of high paging activity. This happens when it is spending more time paging instead of executing.,113
Operating Systems,What is the best page size when designing an operating system?,"The best paging size varies from system to system, so there is no single best when it comes to page size. There are different factors to consider in order to come up with a suitable page size, such as page table, paging time, and its effect on the overall efficiency of the operating system.",114
Operating Systems,"When designing the file structure for an operating system, what attributes are considered?","Typically, the different attributes for a file structure are naming, identifier, supported file types, and location for the files, size, and level of protection.",115
Operating Systems,What is root partition?,Root partition is where the operating system kernel is located. It also contains other potentially important system files that are mounted during boot time.,116
Operating Systems,What are device drivers?,Device drivers provide a standard means of representing I/O devices that maybe manufactured by different companies. This prevents conflicts whenever such devices are incorporated in a systems unit.,117
Operating Systems,What are the primary functions of VFS?,"VFS, or Virtual File System, separate file system generic operations from their implementation by defining a clean VFS interface. It is based on a file-representation structure known as vnode, which contains a numerical designator needed to support network file systems.",118
Operating Systems, Explain pros and cons of a command line interface?,"A command line interface allows the user to type in commands that can immediately provide results. Many seasoned computer users are well accustomed to using the command line because they find it quicker and simpler.

However, the main problem with a command line interface is that users have to be familiar with the commands, including the switches and parameters that come with it. This is a downside for people who are not fond of memorizing commands.",119
Operating Systems,What is plumbing/piping?,"It is the process of using the output of one program as an input to another. For example, instead of sending the listing of a folder or drive to the main screen, it can be piped and sent to a file, or sent to the printer to produce a hard copy.",120
Operating Systems, What is NOS?,"NOS is short for Network Operating System. It is a specialized software that will allow a computer to communicate with other devices over the network, including file/folder sharing.",121
Operating Systems,What are the primary functions of VFS?,"VFS, or Virtual File System, separate file system generic operations from their implementation by defining a clean VFS interface. It is based on a file-representation structure known as vnode, which contains a numerical designator needed to support network file systems.",122
Operating Systems,What is caching?,Caching is the processing of utilizing a region of fast memory for a limited data and process. A cache memory is usually much efficient because of its high access speed.,123
Operating Systems,What are the disadvantages of Microkernels?,"Following are the main disadvantages of Microkernels. Usually these disadvantages are situation based. Larger running memory footprint, Performance loss due to the requirement of more software for interfacing, Difficulty in fixing the messaging bugs, Complicated process management.",124
Operating Systems,What is a command interpreter?,It is a program that interprets the command input through keyboard or command batch file. It helps the user to interact with the OS and trigger the required system programs or execute some user application.,125
Operating Systems,How would you identify daemons in Unix?,The name of daemons usually end with 'd' at the end in Unix.,126
Operating Systems,What do you mean by a zombie process?,These are dead processes which are not yet removed from the process table.  It happens when the parent process has terminated while the child process is still running. This child process now stays as a zombie.,127
Operating Systems,What do you know about a Pipe? When is it used?,It is an IPC mechanism used for one way communication between two processes which are related. A single process doesn't need to use pipe. It is used when two process wish to communicate one-way.,128
Operating Systems,What is a semaphore?,A semaphore is a hardware or a software tag variable whose value indicates the status of a common resource.,129
Operating Systems,Tell us something about Mutex.,Mutex - ‘Mutual Exclusion Lock’ is a lock which protects access to shared data resource. Threads can create and initialize a mutex to be used later.,130
Operating Systems,Explain condition variable.,These are synchronization objects which help threads wait for particular conditions to occur.,131
Operating Systems,Explain compaction.,"During the process of loading and removal of process into and out of the memory, the free memory gets broken into smaller pieces. These pieces lie scattered in the memory. Compaction means movement of these pieces close to each other to form a larger chunk of memory which works as a resource to run larger processes.",132
Operating Systems,When does the Belady's anomaly occur?,The Belady's anomaly is a situation in which the number of page faults increases when additional physical memory is added to a system. This anomaly arises in some algorithms that implement virtual memory. The virtual memory allows programs larger than the physical memory space to execute. An algorithm suffers from this problem when it cannot guarantee that a page will be kept when a small number of frames are available. ,133
Operating Systems,What are the pros and cons of using circuit switching?,The primary advantage of using circuit switching is that it ensures the availability of resources. That is it reserves the network resources required for a specific transfer prior to the transmission taking place. By doing so it ensures that no packet would be dropped and the required quality of service is met. The disadvantage of using circuit switching is that it requires a round trip message to setup a reservation. By doing so as it provisions the resources ahead of the transmission it might lead to the suboptimal use of resources.,134
Operating Systems,What do you understand by transaction atomicity?,The transaction process can be considered to be a series of read and write operations upon some data which is followed by a commit operation. By transaction atomicity it means that if a transaction is not completed successfully then the transaction must be aborted and any changes that the transactions did while execution must be roll backed. It means that a transaction must appear as a single operation that cannot be divided.,135
Operating Systems,What is graceful degradation?,It is the ability to continue providing service proportional to level of hardware.,136
Operating Systems,What is DLM?,It is the service called as distributed lock manager.,137
Operating Systems,What are loosely coupled systems?,These systems are also called as the distributed systems. It consist of collection of processors that do not share memory or clock. The processors communicate through high speed buses or telephone lines.,138
Machine Learning,What are the different types of Machine Learning?,"There are 3 types : Supervised Learning, Unsupervised Learning, Reinforcement Learning.",139
Machine Learning,What is supervised learning?,Supervised learning is a method in which the machine learns using labeled data. It is like learning under the guidance of a teacher. Training dataset is like a teacher which is used to train the machine. Model is trained on a pre-defined dataset before it starts making decisions when given new data.,140
Machine Learning,What is unsupervised learning?,Unsupervised learning is a method in which the machine is trained on unlabelled data or without any guidance. It is like learning without a teacher. Model learns through observation & finds structures in data. Model is given a dataset and is left to automatically find patterns and relationships in that dataset by creating clusters.,141
Machine Learning,What is reinforcement learning?,Reinforcement learning involves an agent that interacts with its environment by producing actions & discovers errors or rewards. Must explore the environment and learn how to live and adapt to the living conditions on your own. Model learns through the hit and trial method. It learns on the basis of reward or penalty given for every action it performs,142
Machine Learning,How does Deep Learning differ from Machine Learning?,"Deep Learning is a form of machine learning that is inspired by the structure of the human brain and is particularly effective in feature detection. Machine Learning is all about algorithms that parse data, learn from that data, and then apply what they’ve learned to make informed decisions.",143
Machine Learning,What is Machine learning?,Machine learning is a branch of computer science which deals with system programming in order to automatically learn and improve with experience.  For example: Robots are programed so that they can perform the task based on data they gather from sensors. It automatically learns programs from data.,144
Machine Learning,Mention the difference between Data Mining and Machine learning?,"Machine learning relates with the study, design and development of the algorithms that give computers the capability to learn without being explicitly programmed. While, data mining can be defined as the process in which the unstructured data tries to extract knowledge or unknown interesting patterns. During this process machine, learning algorithms are used.",145
Machine Learning,Do you know classification?,Yes.,146
Machine Learning,Explain Classification,Classification is a supervised learning approach in which the computer program learns from the data input given to it and then uses this learning to classify new observation.Data is labelled into two or more classes.,147
Machine Learning,Do you know regression?,"Regression is basically a statistical approach to find the relationship between variables. In machine learning, this is used to predict the outcome of an event based on the relationship between variables obtained from the data-set. Predicting a continious quantity. ",148
Machine Learning,Explain false negative,A false negative is an outcome where the model incorrectly predicts the negative class.,149
Machine Learning,Explain false positive,A false positive is an outcome where the model incorrectly predicts the positive class.,150
Machine Learning,Explain true negative,A true negative is an outcome where the model correctly predicts the negative class.,151
Machine Learning,Explain true positive,A true positive is an outcome where the model correctly predicts the positive class.,152
Machine Learning,What do you understand by selection bias?,It is a statistical error that causes a bias in the sampling portion of an experiment. The error causes one sampling group to be selected more often than other groups included in the experiment. Selection bias may produce an inaccurate conclusion if the selection bias is not identified.,153
Machine Learning,What to measures determing relevance of a classification model?,Precision and recall.,154
Machine Learning,What do you understand by Precision?,Precision (also called positive predictive value) is the fraction of relevant instances among the retrieved instances.,155
Machine Learning,What do you understand by recall?,Recall (also known as sensitivity) is the fraction of the total amount of relevant instances that were actually retrieved.,156
